student_id,group_id,assignment_type,commit_consistency,code_share,review_participation,attendance_ratio,speaking_participation_ratio,chat_participation_ratio,docs_contribution_share,comment_activity,benchmark_score
S001,G001,software,0.8425,0.0744,0.4073,0.8806,0.3124,0.3771,0.1904,0.4209,46.55
S002,G001,software,0.8028,0.2605,0.4835,0.9379,0.425,0.4647,0.2002,0.5584,53.65
S003,G001,software,0.4409,0.2531,0.8155,0.7658,0.6277,0.4542,0.0107,0.2057,42.61
S004,G001,software,0.9208,0.4119,0.6175,0.7144,0.6346,0.5153,0.5987,0.1155,60.64
S005,G002,software,0.7144,0.2008,0.6069,0.9658,0.4362,0.273,0.0197,0.2245,45.77
S006,G002,software,0.7569,0.3072,0.8297,0.6772,0.4378,0.5274,0.1499,0.3783,52.43
S007,G002,software,0.8761,0.2767,0.7079,0.6449,0.5639,0.5722,0.1603,0.4468,55.54
S008,G002,software,0.5679,0.2152,0.7695,0.6813,0.3845,0.5685,0.6701,0.6082,52.48
S009,G003,software,0.0485,0.0722,0.0965,0.1982,0.0058,0.0264,0.0082,0.3314,9.19
S010,G003,software,0.7349,0.2605,0.1775,0.8939,0.7287,0.1104,0.0688,0.6379,49.2
S011,G003,software,0.7185,0.5391,0.4336,0.8736,0.5401,0.6679,0.2853,0.257,55.98
S012,G003,software,0.7318,0.1282,0.8143,0.6957,0.6738,0.634,0.6378,0.7662,59.91
S013,G004,software,0.6322,0.4115,0.7196,0.9028,0.6027,0.7024,0.1842,0.335,54.99
S014,G004,software,0.7892,0.2563,0.6655,0.9286,0.5527,0.403,0.3646,0.5102,57.09
S015,G004,software,0.8845,0.1508,0.2776,0.897,0.7155,0.8515,0.1884,0.5955,56.13
S016,G004,software,0.8495,0.1814,0.6502,0.9427,0.6419,0.8205,0.2628,0.4813,58.76
S017,G005,software,0.8332,0.0455,0.4885,0.9565,0.5352,0.4081,0.3254,0.3353,50.19
S018,G005,software,0.6615,0.6655,0.6468,0.8559,0.6266,0.4107,0.1467,0.3724,58.38
S019,G005,software,0.7999,0.0381,0.8098,0.975,0.7535,0.6743,0.4329,0.7182,61.02
S020,G005,software,0.5614,0.2509,0.6021,0.5829,0.6291,0.488,0.095,0.4499,45.08
S021,G006,software,0.9515,0.3997,0.4138,0.8765,0.7313,0.8031,0.42,0.5781,65.99
S022,G006,software,0.876,0.4512,0.1138,0.9211,0.4539,0.813,0.1024,0.5013,55.91
S023,G006,software,0.9308,0.0963,0.5436,0.8708,0.5098,0.3844,0.0736,0.3897,50.99
S024,G006,software,0.9015,0.0529,0.1145,0.9895,0.1004,0.3194,0.404,0.38,45.08
S025,G007,software,0.5908,0.1132,0.6814,0.7623,0.3078,0.6246,0.2532,0.5004,45.21
S026,G007,software,0.9599,0.2275,0.6685,0.9709,0.0974,0.1935,0.0403,0.3943,51.23
S027,G007,software,0.4428,0.4934,0.7578,0.8274,0.5047,0.4173,0.1989,0.5228,51.14
S028,G007,software,0.7563,0.1658,0.3681,0.8553,0.6175,0.2124,0.5075,0.3771,50.54
S029,G008,software,0.8015,0.3756,0.7389,0.8272,0.3717,0.4128,0.1798,0.7937,58.73
S030,G008,software,0.6155,0.0492,0.749,0.8802,0.43,0.1546,0.3166,0.528,46.18
S031,G008,software,0.8765,0.1247,0.6403,0.8338,0.3112,0.4159,0.2481,0.4995,51.81
S032,G008,software,0.7417,0.4506,0.6162,0.6907,0.4702,0.4267,0.2554,0.6084,56.1
S033,G009,software,0.8461,0.2309,0.5208,0.8217,0.8049,0.2043,0.1889,0.1403,51.56
S034,G009,software,0.7597,0.1921,0.4888,0.7311,0.7837,0.3947,0.4229,0.2081,51.15
S035,G009,software,0.8065,0.2686,0.5081,0.7304,0.3036,0.3207,0.2536,0.7536,52.63
S036,G009,software,0.7076,0.3084,0.7063,0.7624,0.3124,0.3755,0.1346,0.5678,50.57
S037,G010,software,0.0372,0.028,0.0906,0.2098,0.2203,0.2988,0.0338,0.1304,9.83
S038,G010,software,0.4206,0.391,0.6995,0.9762,0.6231,0.3476,0.3973,0.6759,53.79
S039,G010,software,0.8632,0.4159,0.64,0.8012,0.4073,0.4101,0.2194,0.7098,59.73
S040,G010,software,0.6267,0.1651,0.585,0.8672,0.5851,0.6391,0.3495,0.2943,48.98
S041,G011,research_report,0.8606,0.1343,0.6318,0.6901,0.6027,0.3115,0.1139,0.4244,40.1
S042,G011,research_report,0.5485,0.1535,0.7002,0.7243,0.2489,0.5498,0.2772,0.5497,45.17
S043,G011,research_report,0.6953,0.35,0.7131,0.7586,0.4151,0.1613,0.3376,0.5983,50.21
S044,G011,research_report,0.7943,0.3623,0.6075,0.6367,0.5289,0.6403,0.2713,0.5497,48.74
S045,G012,research_report,0.7476,0.0755,0.5266,0.8059,0.8311,0.855,0.3382,0.5443,55.18
S046,G012,research_report,0.632,0.4015,0.454,0.9272,0.6587,0.682,0.1942,0.4176,47.61
S047,G012,research_report,0.6699,0.0663,0.4794,0.7032,0.6491,0.4835,0.3536,0.4378,47.09
S048,G012,research_report,0.817,0.4567,0.5209,0.9805,0.5123,0.4175,0.114,0.4071,44.49
S049,G013,research_report,0.5358,0.1433,0.4246,0.7642,0.4942,0.4142,0.1588,0.3213,36.79
S050,G013,research_report,0.3842,0.1269,0.5961,0.84,0.625,0.2306,0.3194,0.3857,44.76
S051,G013,research_report,0.8677,0.6569,0.7004,0.9589,0.1872,0.6354,0.4141,0.5594,56.97
S052,G013,research_report,0.9344,0.0729,0.317,0.7956,0.6228,0.5658,0.1076,0.4717,42.63
